Date,Open,High,Low,Close
2000-01-03,174.9080237694725,183.82725541001562,165.36601165747828,174.45737448744694
2000-01-04,290.14286128198324,295.69254840749466,280.1553054095038,292.62051405338354
2000-01-05,246.398788362281,251.96860890597813,243.28012312270727,244.2147944646335
2000-01-06,219.73169683940733,221.97704119189234,212.188877997295,214.93049592638013
2000-01-07,131.2037280884873,141.0483839566808,126.80144852838855,131.61593436881626
2000-01-10,131.19890406724053,134.44866008506,130.12593029526462,135.7649097449136
2000-01-11,111.6167224336399,113.27699904077632,110.53344973171677,110.52949098770935
2000-01-12,273.235229154987,280.20354539576385,268.0901350869267,272.436574696818
2000-01-13,220.22300234864176,226.5812996800536,214.82798813160275,224.91201951978215
2000-01-14,241.6145155592091,246.3508264451438,240.41138829004814,243.5605916754764
2000-01-17,104.11689885916049,108.91662896408658,96.93455210819177,106.30861808758173
2000-01-18,293.98197043239884,302.04754572181673,290.3359399350443,294.6089904861095
2000-01-19,266.48852816008434,269.2499419209812,260.4494902462608,271.23462026871675
2000-01-20,142.46782213565524,150.85010200615926,138.75955047716647,144.3564869799108
2000-01-21,136.36499344142013,143.2037174664753,133.86078460759637,140.3153209574718
2000-01-24,136.68090197068676,141.45162993470248,132.01633832329688,138.67469062801896
2000-01-25,160.84844859190753,165.97070614116234,157.75798830879302,163.19960684031147
2000-01-26,204.9512863264476,208.26111119112244,199.13807753417507,202.85539554787005
2000-01-27,186.38900372842315,194.1580327226959,183.59954695584483,184.42379070856134
2000-01-28,158.2458280396084,163.8617007203558,152.67017424980676,161.07567453536868
2000-01-31,222.37057894447588,226.25826982922447,219.95417231065608,220.33764183617487
2000-02-01,127.89877213040836,134.26322317225691,120.85999974503629,128.52647283842367
2000-02-02,158.42892970704364,168.39053977550554,150.64349054707083,155.92245281611065
2000-02-03,173.27236865873834,178.18972917564733,171.27882055048894,176.44220246682903
2000-02-04,191.2139968434072,200.50021945041476,186.00377513507112,187.3190103556841
2000-02-07,257.0351922786027,261.1403438379238,255.39734697270885,260.32965867621937
2000-02-08,139.93475643167196,141.42735079399682,133.55111442179393,140.96205443674796
2000-02-09,202.84688768272233,205.68506664003817,199.46724900135553,199.7159830309931
2000-02-10,218.4829137724085,223.25117006235766,212.73429366086012,218.9032676274697
2000-02-11,109.29008254399955,112.26679690135067,103.63293345954092,107.11507091247294
2000-02-14,221.50897038028768,222.51101372425197,212.18978126454348,219.74364372759266
2000-02-15,134.1048247374583,143.33983857718604,128.1630757343398,132.62010515342712
2000-02-16,113.0103185970559,121.60523329813427,106.76333227959105,108.64351106677911
2000-02-17,289.7771074506667,297.4577375340492,285.16222931878724,294.63672429468085
2000-02-18,293.12640661491184,295.6367379757261,283.58469018626647,288.4417528962241
2000-02-21,261.6794696232922,263.7627418091821,253.68479643833572,263.304438355135
2000-02-22,160.92275383467415,162.5311965799256,157.35410622194857,159.63503031224846
2000-02-23,119.53442280127678,127.05068550023307,110.93653652929069,120.99452571074377
2000-02-24,236.84660530243139,246.20587694862235,231.9550380607656,235.4090878333072
2000-02-25,188.03049874792026,192.9053211361376,179.5724944561179,189.76800521050885
2000-02-28,124.40764696895576,126.4799130169202,116.00165435431424,126.70000206363937
2000-02-29,199.03538202225405,204.64691740884302,196.33555034138837,200.9409084262505
2000-03-01,106.87770422304368,111.01719139017135,99.5674340405915,103.0173240366252
2000-03-02,281.8640804157564,286.2375047349064,278.2482936919976,283.43301276230324
2000-03-03,151.7559963200034,158.34797193740476,148.07856229006939,149.55587181454436
2000-03-06,232.5044568707964,239.97291989015622,228.83732417887117,227.79247057648973
2000-03-07,162.3422152178822,164.33764760774065,154.81210098984266,161.49052193677173
2000-03-08,204.01360423556216,205.33391631282043,200.94516985942934,203.34903526360017
2000-03-09,209.34205586865593,219.29102859282736,208.3339033514411,209.0137972021804
2000-03-10,136.9708911051054,140.06544624534538,129.53375942376172,139.01913275901256
2000-03-13,293.9169255529117,295.4014002770879,291.3762628583956,292.0053636443363
2000-03-14,255.02656467222292,257.7354426340862,253.0862231144524,253.17936980326215
2000-03-15,287.8997883128378,289.250408929974,284.76214322749126,283.5053108752504
2000-03-16,278.9654700855298,283.4917681370843,274.54636538462546,280.83368224545274
2000-03-17,219.57999576221704,227.80161182227897,214.29683881495822,220.25825667621288
2000-03-20,284.37484700462335,288.44604705244285,282.9737166382097,282.8690981315612
2000-03-21,117.6985004103839,122.6961510722892,107.96334041673765,119.75039019955744
2000-03-22,139.19657248382904,146.27685344593598,131.75200500305303,139.5701499760978
2000-03-23,109.04545778210762,114.62550441273655,105.13671119418859,108.73790724081302
2000-03-24,165.06606615265287,173.8190773268448,161.19779083708428,165.17931158926413
2000-03-27,177.7354579378964,186.5297790133082,172.69857499358025,179.09893919056697
2000-03-28,154.26980635477918,155.35900261419957,147.63360294991188,155.86983240052518
2000-03-29,265.7475018303859,273.74991858873466,263.4301442310852,263.63708002179305
2000-03-30,171.35066533871787,176.49726774089294,168.6502970148333,167.7580989726294
2000-03-31,156.18690193747614,166.0864668092091,147.45199069197417,152.7532437493813
2000-04-03,208.5392166316497,213.88830531452862,205.23292231664806,209.9331254906797
2000-04-04,128.18484499495253,138.0669085034472,123.76309001317593,131.91357785262377
2000-04-05,260.43939615080797,268.2305204016596,251.5979494922569,259.5343589342635
2000-04-06,114.91012873595416,118.14757269747392,107.94179827135576,111.60533033924878
